"BehaviorSpace results (NetLogo 6.0)"
"/home/edponce/Documents/utk/netlogo/mpi_netlogo/fire/Fire.nlogo"
"experiment"
"11/16/2017 16:21:34:971 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"1","70","10","200","26176"
"1","70","10","201","26287"
"1","70","10","202","26402"
"1","70","10","203","26516"
"1","70","10","204","26631"
"1","70","10","205","26755"
"1","70","10","206","26872"
"1","70","10","207","27000"
"1","70","10","208","27131"
"1","70","10","209","27269"
"1","70","10","210","27417"
"1","70","10","211","27556"
"1","70","10","212","27699"
"1","70","10","213","27853"
"1","70","10","214","27987"
"1","70","10","215","28115"
"1","70","10","216","28245"
"1","70","10","217","28393"
"1","70","10","218","28547"
"1","70","10","219","28704"
"1","70","10","220","28855"
"1","70","10","221","29000"
"1","70","10","222","29137"
"1","70","10","223","29273"
"1","70","10","224","29414"
"1","70","10","225","29563"
"1","70","10","226","29712"
"1","70","10","227","29853"
"1","70","10","228","29999"
"1","70","10","229","30145"
"1","70","10","230","30265"
"1","70","10","231","30369"
"1","70","10","232","30479"
"1","70","10","233","30596"
"1","70","10","234","30720"
"1","70","10","235","30845"
"1","70","10","236","30974"
"1","70","10","237","31111"
"1","70","10","238","31245"
"1","70","10","239","31383"
"1","70","10","240","31527"
"1","70","10","241","31687"
"1","70","10","242","31850"
"1","70","10","243","32007"
"1","70","10","244","32157"
"1","70","10","245","32298"
"1","70","10","246","32452"
"1","70","10","247","32576"
"1","70","10","248","32693"
"1","70","10","249","32805"
"1","70","10","250","32916"
"1","70","10","251","33033"
"1","70","10","252","33150"
"1","70","10","253","33267"
"1","70","10","254","33370"
"1","70","10","255","33494"
"1","70","10","256","33613"
"1","70","10","257","33732"
"1","70","10","258","33851"
"1","70","10","259","33961"
"1","70","10","260","34076"
"1","70","10","261","34189"
"1","70","10","262","34296"
"1","70","10","263","34410"
"1","70","10","264","34532"
"1","70","10","265","34666"
"1","70","10","266","34801"
"1","70","10","267","34927"
"1","70","10","268","35052"
"1","70","10","269","35190"
"1","70","10","270","35327"
"1","70","10","271","35469"
"1","70","10","272","35616"
"1","70","10","273","35757"
"1","70","10","274","35894"
"1","70","10","275","36033"
"1","70","10","276","36185"
"1","70","10","277","36355"
"1","70","10","278","36531"
"1","70","10","279","36695"
"1","70","10","280","36850"
"1","70","10","281","36991"
"1","70","10","282","37134"
"1","70","10","283","37269"
"1","70","10","284","37397"
"1","70","10","285","37539"
"1","70","10","286","37688"
"1","70","10","287","37848"
"1","70","10","288","37997"
"1","70","10","289","38127"
"1","70","10","290","38274"
"1","70","10","291","38417"
"1","70","10","292","38564"
"1","70","10","293","38709"
"1","70","10","294","38851"
"1","70","10","295","38983"
"1","70","10","296","39115"
"1","70","10","297","39237"
"1","70","10","298","39362"
"1","70","10","299","39486"
"1","70","10","300","39610"
"1","70","10","301","39742"
"1","70","10","302","39886"
"1","70","10","303","40023"
"1","70","10","304","40133"
"1","70","10","305","40248"
"1","70","10","306","40358"
"1","70","10","307","40470"
"1","70","10","308","40575"
"1","70","10","309","40679"
"1","70","10","310","40792"
"1","70","10","311","40911"
"1","70","10","312","41037"
"1","70","10","313","41163"
"1","70","10","314","41289"
"1","70","10","315","41410"
"1","70","10","316","41543"
"1","70","10","317","41678"
"1","70","10","318","41809"
"1","70","10","319","41943"
"1","70","10","320","42063"
"1","70","10","321","42165"
"1","70","10","322","42266"
"1","70","10","323","42359"
"1","70","10","324","42453"
"1","70","10","325","42526"
"1","70","10","326","42581"
"1","70","10","327","42630"
"1","70","10","328","42679"
"1","70","10","329","42712"
"1","70","10","330","42741"
"1","70","10","331","42770"
"1","70","10","332","42799"
"1","70","10","333","42826"
"1","70","10","334","42855"
"1","70","10","335","42881"
"1","70","10","336","42903"
"1","70","10","337","42926"
"1","70","10","338","42946"
"1","70","10","339","42966"
"1","70","10","340","42985"
"1","70","10","341","42998"
"1","70","10","342","43012"
"1","70","10","343","43028"
"1","70","10","344","43044"
"1","70","10","345","43057"
"1","70","10","346","43066"
"1","70","10","347","43077"
"1","70","10","348","43085"
"1","70","10","349","43093"
"1","70","10","350","43101"
"1","70","10","351","43106"
"1","70","10","352","43109"
"1","70","10","353","43110"
"1","70","10","354","43111"
"1","70","10","355","43112"
"1","70","10","356","43114"
"1","70","10","357","43116"
"1","70","10","358","43119"
"1","70","10","359","43123"
"1","70","10","360","43126"
"1","70","10","361","43127"
"1","70","10","362","43127"
"BehaviorSpace results (NetLogo 6.0)"
"/home/edponce/Documents/utk/netlogo/mpi_netlogo/fire/Fire.nlogo"
"experiment"
"11/16/2017 16:21:35:394 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","initial-trees","[step]","burned-trees"
"1","5","15","0","0"
"1","5","15","1","18"
"1","5","15","2","19"
"1","5","15","3","19"
