"BehaviorSpace results (NetLogo 6.0)"
"/nics/d/home/eponcemo/netlogo/mpi_netlogo/Fire/Fire.nlogo"
"experiment"
"11/19/2017 18:12:25:860 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","initial-trees","[step]","burned-trees"
"2","10","10","0","0"
"3","5","10","0","0"
"1","70","10","0","0"
"2","10","10","1","22"
"2","10","10","2","24"
"2","10","10","3","24"
"3","5","10","1","8"
"1","70","10","1","185"
"3","5","10","2","8"
"1","70","10","2","317"
"1","70","10","3","447"
"1","70","10","4","581"
"1","70","10","5","717"
"1","70","10","6","843"
"1","70","10","7","960"
"1","70","10","8","1088"
"1","70","10","9","1204"
"1","70","10","10","1321"
"1","70","10","11","1427"
"1","70","10","12","1548"
"1","70","10","13","1671"
"1","70","10","14","1788"
"1","70","10","15","1905"
"1","70","10","16","2026"
"1","70","10","17","2143"
"1","70","10","18","2275"
"1","70","10","19","2404"
"1","70","10","20","2540"
"1","70","10","21","2664"
"1","70","10","22","2787"
"1","70","10","23","2916"
"1","70","10","24","3048"
"1","70","10","25","3175"
"1","70","10","26","3313"
"1","70","10","27","3441"
"1","70","10","28","3576"
"1","70","10","29","3696"
"1","70","10","30","3815"
"1","70","10","31","3927"
"1","70","10","32","4050"
"1","70","10","33","4190"
"1","70","10","34","4334"
"1","70","10","35","4479"
"1","70","10","36","4615"
"1","70","10","37","4752"
"1","70","10","38","4886"
"1","70","10","39","5024"
"1","70","10","40","5166"
"1","70","10","41","5321"
"1","70","10","42","5459"
"1","70","10","43","5604"
"1","70","10","44","5742"
"1","70","10","45","5869"
"1","70","10","46","5980"
"1","70","10","47","6096"
"1","70","10","48","6206"
"1","70","10","49","6324"
"1","70","10","50","6446"
"1","70","10","51","6560"
"1","70","10","52","6665"
"1","70","10","53","6774"
"1","70","10","54","6887"
"1","70","10","55","7012"
"1","70","10","56","7132"
"1","70","10","57","7259"
"1","70","10","58","7388"
"1","70","10","59","7518"
"1","70","10","60","7648"
"1","70","10","61","7782"
"1","70","10","62","7913"
"1","70","10","63","8049"
"1","70","10","64","8191"
"1","70","10","65","8324"
"1","70","10","66","8453"
"1","70","10","67","8591"
"1","70","10","68","8718"
"1","70","10","69","8852"
"1","70","10","70","8985"
"1","70","10","71","9119"
"1","70","10","72","9255"
"1","70","10","73","9386"
"1","70","10","74","9515"
"1","70","10","75","9651"
"1","70","10","76","9771"
"1","70","10","77","9890"
"1","70","10","78","10009"
"1","70","10","79","10128"
"1","70","10","80","10256"
"1","70","10","81","10386"
"1","70","10","82","10515"
"1","70","10","83","10647"
"1","70","10","84","10789"
"1","70","10","85","10931"
"1","70","10","86","11066"
"1","70","10","87","11205"
"1","70","10","88","11357"
"1","70","10","89","11514"
"1","70","10","90","11665"
"1","70","10","91","11819"
"1","70","10","92","11957"
"1","70","10","93","12095"
"1","70","10","94","12233"
"1","70","10","95","12380"
"1","70","10","96","12521"
"1","70","10","97","12664"
"1","70","10","98","12811"
"1","70","10","99","12955"
"1","70","10","100","13109"
"1","70","10","101","13260"
"1","70","10","102","13414"
"1","70","10","103","13558"
"1","70","10","104","13710"
"1","70","10","105","13868"
"1","70","10","106","14003"
"1","70","10","107","14138"
"1","70","10","108","14273"
"1","70","10","109","14417"
"1","70","10","110","14545"
"1","70","10","111","14671"
"1","70","10","112","14785"
"1","70","10","113","14904"
"1","70","10","114","15011"
"1","70","10","115","15136"
"1","70","10","116","15245"
"1","70","10","117","15372"
"1","70","10","118","15495"
"1","70","10","119","15628"
"1","70","10","120","15749"
"1","70","10","121","15860"
"1","70","10","122","15961"
"1","70","10","123","16063"
"1","70","10","124","16176"
"1","70","10","125","16296"
"1","70","10","126","16414"
"1","70","10","127","16536"
"1","70","10","128","16672"
"1","70","10","129","16795"
"1","70","10","130","16931"
"1","70","10","131","17060"
"1","70","10","132","17188"
"1","70","10","133","17311"
"1","70","10","134","17436"
"1","70","10","135","17564"
"1","70","10","136","17697"
"1","70","10","137","17836"
"1","70","10","138","17966"
"1","70","10","139","18097"
"1","70","10","140","18223"
"1","70","10","141","18346"
"1","70","10","142","18467"
"1","70","10","143","18584"
"1","70","10","144","18718"
"1","70","10","145","18858"
"1","70","10","146","19005"
"1","70","10","147","19151"
"1","70","10","148","19301"
"1","70","10","149","19455"
"1","70","10","150","19617"
"1","70","10","151","19773"
"1","70","10","152","19911"
"1","70","10","153","20048"
"1","70","10","154","20184"
"1","70","10","155","20315"
"1","70","10","156","20448"
"1","70","10","157","20571"
"1","70","10","158","20696"
"1","70","10","159","20828"
"1","70","10","160","20962"
"1","70","10","161","21100"
"1","70","10","162","21241"
"1","70","10","163","21384"
"1","70","10","164","21524"
"1","70","10","165","21646"
"1","70","10","166","21774"
"1","70","10","167","21910"
"1","70","10","168","22036"
"1","70","10","169","22176"
"1","70","10","170","22320"
"1","70","10","171","22457"
"1","70","10","172","22596"
"1","70","10","173","22730"
"1","70","10","174","22863"
"1","70","10","175","22996"
"1","70","10","176","23130"
"1","70","10","177","23262"
"1","70","10","178","23400"
"1","70","10","179","23537"
"1","70","10","180","23667"
"1","70","10","181","23797"
"1","70","10","182","23928"
"1","70","10","183","24060"
"1","70","10","184","24191"
"1","70","10","185","24312"
"1","70","10","186","24430"
"1","70","10","187","24567"
"1","70","10","188","24707"
"1","70","10","189","24849"
"1","70","10","190","24991"
"1","70","10","191","25146"
"1","70","10","192","25289"
"1","70","10","193","25446"
"1","70","10","194","25588"
"1","70","10","195","25735"
"1","70","10","196","25871"
"1","70","10","197","26006"
"1","70","10","198","26140"
"1","70","10","199","26290"
"1","70","10","200","26439"
"1","70","10","201","26592"
"1","70","10","202","26745"
"1","70","10","203","26898"
"1","70","10","204","27041"
"1","70","10","205","27178"
"1","70","10","206","27314"
"1","70","10","207","27451"
"1","70","10","208","27573"
"1","70","10","209","27698"
"1","70","10","210","27812"
"1","70","10","211","27940"
"1","70","10","212","28062"
"1","70","10","213","28196"
"1","70","10","214","28327"
"1","70","10","215","28457"
"1","70","10","216","28575"
"1","70","10","217","28692"
"1","70","10","218","28812"
"1","70","10","219","28927"
"1","70","10","220","29044"
"1","70","10","221","29152"
"1","70","10","222","29271"
"1","70","10","223","29387"
"1","70","10","224","29514"
"1","70","10","225","29645"
"1","70","10","226","29775"
"1","70","10","227","29913"
"1","70","10","228","30058"
"1","70","10","229","30192"
"1","70","10","230","30317"
"1","70","10","231","30442"
"1","70","10","232","30565"
"1","70","10","233","30686"
"1","70","10","234","30817"
"1","70","10","235","30956"
"1","70","10","236","31090"
"1","70","10","237","31226"
"1","70","10","238","31381"
"1","70","10","239","31537"
"1","70","10","240","31678"
"1","70","10","241","31819"
"1","70","10","242","31942"
"1","70","10","243","32059"
"1","70","10","244","32181"
"1","70","10","245","32314"
"1","70","10","246","32442"
"1","70","10","247","32577"
"1","70","10","248","32721"
"1","70","10","249","32847"
"1","70","10","250","32967"
"1","70","10","251","33096"
"1","70","10","252","33216"
"1","70","10","253","33340"
"1","70","10","254","33462"
"1","70","10","255","33580"
"1","70","10","256","33696"
"1","70","10","257","33822"
"1","70","10","258","33948"
"1","70","10","259","34074"
"1","70","10","260","34188"
"1","70","10","261","34296"
"1","70","10","262","34414"
"1","70","10","263","34536"
"1","70","10","264","34656"
"1","70","10","265","34775"
"1","70","10","266","34895"
"1","70","10","267","35016"
"1","70","10","268","35136"
"1","70","10","269","35250"
"1","70","10","270","35365"
"1","70","10","271","35488"
"1","70","10","272","35598"
"1","70","10","273","35722"
"1","70","10","274","35847"
"1","70","10","275","35979"
"1","70","10","276","36113"
"1","70","10","277","36255"
"1","70","10","278","36385"
"1","70","10","279","36518"
"1","70","10","280","36654"
"1","70","10","281","36786"
"1","70","10","282","36908"
"1","70","10","283","37035"
"1","70","10","284","37151"
"1","70","10","285","37268"
"1","70","10","286","37388"
"1","70","10","287","37506"
"1","70","10","288","37631"
"1","70","10","289","37756"
"1","70","10","290","37879"
"1","70","10","291","37998"
"1","70","10","292","38117"
"1","70","10","293","38234"
"1","70","10","294","38354"
"1","70","10","295","38476"
"1","70","10","296","38609"
"1","70","10","297","38748"
"1","70","10","298","38894"
"1","70","10","299","39043"
"1","70","10","300","39196"
"1","70","10","301","39338"
"1","70","10","302","39477"
"1","70","10","303","39614"
"1","70","10","304","39755"
"1","70","10","305","39902"
"1","70","10","306","40036"
"1","70","10","307","40170"
"1","70","10","308","40300"
"1","70","10","309","40430"
"1","70","10","310","40552"
"1","70","10","311","40693"
"1","70","10","312","40832"
"1","70","10","313","40972"
"1","70","10","314","41110"
"1","70","10","315","41238"
"1","70","10","316","41364"
"1","70","10","317","41483"
"1","70","10","318","41595"
"1","70","10","319","41699"
"1","70","10","320","41804"
"1","70","10","321","41910"
"1","70","10","322","42005"
"1","70","10","323","42103"
"1","70","10","324","42202"
"1","70","10","325","42295"
"1","70","10","326","42385"
"1","70","10","327","42459"
"1","70","10","328","42522"
"1","70","10","329","42572"
"1","70","10","330","42607"
"1","70","10","331","42640"
"1","70","10","332","42675"
"1","70","10","333","42710"
"1","70","10","334","42740"
"1","70","10","335","42757"
"1","70","10","336","42771"
"1","70","10","337","42784"
"1","70","10","338","42796"
"1","70","10","339","42804"
"1","70","10","340","42811"
"1","70","10","341","42817"
"1","70","10","342","42822"
"1","70","10","343","42826"
"1","70","10","344","42830"
"1","70","10","345","42832"
"1","70","10","346","42835"
"1","70","10","347","42837"
"1","70","10","348","42838"
"1","70","10","349","42839"
"1","70","10","350","42841"
"1","70","10","351","42842"
"1","70","10","352","42843"
"1","70","10","353","42845"
"1","70","10","354","42846"
"1","70","10","355","42846"
